Area code,All categories: Age,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Mean age,Median age
E07000197,"130,869","7,007","4,126","2,457","7,200","1,453","3,203","3,197","8,009","7,102","25,379","27,295","9,167","13,945","8,038","2,100","1,191",41.8,43
E07000198,"97,106","4,671","2,860","1,940","5,377","1,152","2,398","2,082","4,760","4,467","18,071","21,108","7,839","11,360","6,551","1,618",852,43.4,45
E07000199,"76,813","5,061","2,820","1,722","4,789",954,"2,022","1,816","4,744","5,181","16,164","15,409","4,987","6,510","3,460",808,366,38.6,39
,,,,,,,,,,,,,,,,,,,
E10000031,"545,474","31,364","17,751","11,429","31,267","6,588","13,514","12,383","32,734","32,277","108,918","111,861","36,117","53,826","32,288","8,663","4,494",40.9,41
E07000218,"62,014","3,285","1,920","1,289","3,730",741,"1,559","1,358","3,219","3,281","12,072","13,679","4,496","6,506","3,554",913,412,41.7,43
E07000219,"125,252","7,925","4,279","2,740","7,412","1,652","3,302","2,937","7,453","7,971","25,407","25,224","8,028","11,768","6,761","1,611",782,39.7,40
E07000220,"100,075","6,269","3,483","2,165","6,149","1,320","2,718","2,136","5,182","6,322","20,887","20,048","6,062","9,404","5,556","1,545",829,40.0,40
E07000221,"120,485","5,965","3,718","2,458","6,849","1,453","2,936","2,348","5,257","5,382","21,697","26,501","9,341","14,266","8,692","2,317","1,305",43.8,46
E07000222,"137,648","7,920","4,351","2,777","7,127","1,422","2,999","3,604","11,623","9,321","28,855","26,409","8,190","11,882","7,725","2,277","1,166",39.7,39
,,,,,,,,,,,,,,,,,,,
E11000005,"2,736,460","192,528","107,282","66,732","174,834","36,702","73,170","82,532","210,315","198,782","555,126","484,316","138,600","215,833","144,371","36,924","18,413",37.4,36
E08000025,"1,073,045","81,901","45,952","28,408","73,659","14,762","29,453","36,063","93,914","85,601","222,658","176,026","46,435","70,102","49,043","12,656","6,412",35.3,32
E08000026,"316,960","22,476","11,359","7,043","17,831","4,145","7,571","12,526","30,610","24,848","63,574","53,371","15,356","24,015","15,543","4,404","2,288",36.8,34
E08000027,"312,925","18,867","10,971","6,963","18,539","4,164","8,226","7,473","18,141","18,947","61,670","61,220","19,547","31,502","19,797","4,673","2,225",40.5,41
E08000028,"308,063","22,669","12,529","7,665","19,333","4,038","8,142","8,040","20,793","23,085","64,814","54,884","15,230","24,520","16,136","4,096","2,089",37.4,36
E08000029,"206,674","11,555","7,099","4,612","13,111","2,804","5,836","4,766","11,365","10,664","38,418","43,018","13,830","20,463","13,632","3,621","1,880",41.3,42
E08000030,"269,323","18,373","10,401","6,570","17,266","3,590","7,237","6,840","17,504","17,690","52,593","50,223","15,221","24,666","15,752","3,706","1,691",38.8,39
E08000031,"249,470","16,687","8,971","5,471","15,095","3,199","6,705","6,824","17,988","17,947","51,399","45,574","12,981","20,565","14,468","3,768","1,828",38.5,37
,,,,,,,,,,,,,,,,,,,
E10000034,"566,169","31,106","18,312","11,701","32,513","7,035","14,287","13,152","30,918","30,883","108,662","117,825","40,688","58,621","35,581","9,760","5,125",41.8,43
E07000234,"93,637","4,822","3,008","1,912","5,529","1,259","2,489","2,004","4,677","4,250","17,643","20,452","6,457","9,835","6,535","1,771",994,42.6,44
E07000235,"74,631","3,297","2,158","1,485","4,448","1,024","2,191","1,603","3,146","2,919","11,945","16,277","6,157","9,274","5,996","1,781",930,44.9,47
E07000236,"84,214","5,629","3,064","1,822","4,996","1,047","2,154","1,875","5,175","5,995","17,968","16,989","5,616","6,751","3,649",986,498,38.6,38
E07000237,"98,768","6,359","3,426","2,146","5,445","1,101","2,332","3,142","7,417","7,080","21,430","18,721","5,560","7,700","4,917","1,305",687,38.3,37
E07000238,"116,944","5,743","3,668","2,353","6,679","1,462","2,856","2,401","5,361","5,368","21,193","25,751","9,094","13,457","8,132","2,244","1,182",43.5,45
E07000239,"97,975","5,256","2,988","1,983","5,416","1,142","2,265","2,127","5,142","5,271","18,483","19,635","7,804","11,604","6,352","1,673",834,42.7,44
,,,,,,,,,,,,,,,,,,,
E12000006,"5,846,965","361,269","201,093","127,419","345,453","73,398","148,076","137,223","352,974","362,643","1,183,973","1,156,696","372,566","531,393","350,137","93,653","48,999",40.2,40
,,,,,,,,,,,,,,,,,,,
E06000055,"157,479","10,099","5,742","3,634","9,955","2,178","4,267","4,005","9,640","10,134","32,838","30,816","9,303","12,761","8,680","2,297","1,130",38.9,39
E06000056,"254,381","16,009","9,162","5,805","15,480","3,323","6,571","5,441","13,598","14,484","53,597","54,730","16,292","21,945","13,232","3,175","1,537",39.6,40
E06000032,"203,201","16,592","8,809","5,412","13,211","2,732","5,425","5,404","16,621","18,812","43,926","34,030","8,346","12,644","8,440","1,877",920,34.8,32
E06000031,"183,631","13,904","7,088","4,336","11,349","2,459","4,741","4,298","12,502","15,046","40,315","33,333","9,382","12,701","8,829","2,258","1,090",36.9,35
E06000033,"173,658","11,213","5,783","3,715","10,194","2,132","4,322","3,730","9,832","11,282","36,929","33,309","10,419","15,184","10,548","3,223","1,843",40.2,40
E06000034,"157,705","12,005","6,428","3,803","9,949","2,113","4,117","3,623","9,804","11,162","36,566","29,375","8,739","10,738","6,657","1,844",782,36.8,36
,,,,,,,,,,,,,,,,,,,
E10000003,"621,210","36,828","20,516","13,179","34,810","7,408","14,939","17,105","44,194","41,721","130,927","121,138","38,216","53,140","33,216","9,046","4,827",39.5,39
E07000008,"123,867","6,703","3,186","1,887","5,006","1,078","2,446","6,714","18,076","13,341","27,507","18,349","4,973","6,877","5,028","1,682","1,014",35.6,31
E07000009,"83,818","5,506","3,098","1,918","4,812","1,003","2,004","1,547","4,110","4,895","18,271","16,878","5,469","7,540","4,867","1,244",656,40.2,40
E07000010,"95,262","5,221","2,889","1,952","5,525","1,193","2,391","2,024","5,353","5,597","17,850","19,332","6,616","10,095","6,698","1,690",836,42.1,43
E07000011,"169,508","10,098","5,860","3,844","10,361","2,188","4,309","3,821","9,507","9,805","35,342","35,671","11,402","15,489","8,457","2,186","1,168",39.9,41
E07000012,"148,755","9,300","5,483","3,578","9,106","1,946","3,789","2,999","7,148","8,083","31,957","30,908","9,756","13,139","8,166","2,244","1,153",40.1,41
,,,,,,,,,,,,,,,,,,,
E10000012,"1,393,587","81,796","47,295","30,296","83,001","17,478","35,911","32,392","79,047","78,007","275,860","282,575","94,496","133,323","86,926","22,971","12,213",40.9,41
E07000066,"174,497","11,405","6,537","4,128","10,891","2,338","4,625","4,075","10,089","10,936","36,700","34,388","10,497","14,485","9,868","2,375","1,160",39.1,39
E07000067,"147,084","9,467","5,345","3,384","8,943","1,847","3,640","3,182","7,957","8,373","30,487","30,079","9,967","13,033","7,872","2,258","1,250",40.0,41
E07000068,"73,601","3,926","2,452","1,605","4,585",918,"2,068","1,509","3,648","3,819","14,615","15,648","4,759","6,893","4,966","1,453",737,41.6,43
E07000069,"88,011","4,173","2,643","1,752","5,188","1,113","2,317","2,047","4,740","4,212","15,612","18,077","7,136","10,485","6,202","1,532",782,43.2,45
E07000070,"168,310","9,994","5,784","3,747","9,747","2,035","4,415","3,804","9,875","10,643","35,162","34,114","10,972","14,708","9,538","2,495","1,277",40.1,40
E07000071,"173,074","10,647","5,841","3,562","9,606","1,991","4,134","5,586","13,886","11,947","35,620","32,104","10,842","14,443","9,147","2,398","1,320",38.9,38
E07000072,"124,659","7,366","4,193","2,638","7,235","1,519","3,094","2,771","6,663","6,624","25,542","26,169","8,295","11,464","7,743","2,178","1,165",41.1,42
E07000073,"81,944","6,020","3,045","1,872","4,929","1,017","2,196","1,831","4,858","5,970","17,699","16,059","4,143","5,913","4,783","1,085",524,38.2,37
E07000074,"61,629","3,027","1,924","1,337","3,726",811,"1,533","1,218","2,883","2,480","11,430","13,785","5,101","6,976","3,879",916,603,43.0,45
E07000075,"83,287","4,369","2,608","1,760","5,141","1,138","2,221","1,771","4,138","3,729","16,073","17,554","6,106","8,833","5,725","1,435",686,42.3,44
E07000076,"138,048","6,753","3,940","2,562","7,671","1,627","3,380","2,963","6,709","5,672","21,166","26,984","11,348","18,828","12,797","3,653","1,995",45.7,48
E07000077,"79,443","4,649","2,983","1,949","5,339","1,124","2,288","1,635","3,601","3,602","15,754","17,614","5,330","7,262","4,406","1,193",714,40.6,42
,,,,,,,,,,,,,,,,,,,
E10000015,"1,116,062","74,066","40,712","25,644","68,824","14,278","29,307","25,476","65,239","69,805","241,763","224,554","62,479","87,590","61,248","16,520","8,557",39.0,39
E07000095,"93,609","6,175","3,409","2,141","5,903","1,131","2,459","2,240","5,620","5,671","19,809","18,406","5,349","8,045","5,436","1,246",569,39.1,39
E07000096,"144,847","9,718","5,139","3,269","8,862","1,876","3,802","3,037","7,919","8,671","30,941","30,356","8,374","11,310","8,198","2,267","1,108",39.4,40
E07000097,"137,687","8,299","5,003","3,254","9,096","1,896","3,987","2,755","6,411","7,328","30,451","29,608","8,346","11,207","7,248","1,824",974,39.5,40
E07000098,"100,031","6,707","3,673","2,296","6,212","1,302","2,721","2,094","5,869","6,099","20,683","20,269","5,778","7,998","5,674","1,748",908,39.4,39
E07000099,"127,114","8,027","4,559","2,842","7,669","1,629","3,217","2,524","6,126","7,582","27,517","25,953","7,758","10,833","7,501","2,215","1,162",40.2,40
E07000100,"140,664","10,296","5,629","3,453","8,926","1,770","3,641","2,561","6,342","7,831","32,409","28,120","7,910","11,049","7,533","2,092","1,102",38.9,39
E07000101,"83,957","5,906","3,064","1,907","5,100","1,114","2,299","2,178","5,448","6,089","17,773","17,053","4,154","5,994","4,331","1,035",512,37.8,37
E07000102,"87,317","5,433","3,190","2,059","5,673","1,143","2,333","1,823","4,357","4,716","18,269","18,301","5,314","7,327","5,167","1,425",787,40.0,41
E07000103,"90,301","6,730","3,353","2,083","5,298","1,144","2,145","2,013","5,711","8,053","22,469","16,155","3,996","5,743","3,829","1,013",566,36.5,35
E07000104,"110,535","6,775","3,693","2,340","6,085","1,273","2,703","4,251","11,436","7,765","21,442","20,333","5,500","8,084","6,331","1,655",869,38.0,36
,,,,,,,,,,,,,,,,,,,
E10000020,"857,888","46,531","25,317","16,340","46,376","10,421","20,122","20,071","51,984","49,508","154,289","168,410","63,288","96,126","63,291","17,068","8,746",42.7,43
E07000143,"130,491","7,412","3,917","2,516","7,411","1,728","3,155","2,749","7,303","7,334","23,353","25,704","9,771","14,807","9,469","2,544","1,318",42.6,44
E07000144,"124,646","6,053","3,763","2,476","7,173","1,524","3,064","2,499","5,482","5,345","23,158","26,586","9,707","14,464","9,521","2,499","1,332",43.9,45
E07000145,"97,277","5,528","2,977","1,953","5,584","1,487","2,475","2,279","5,942","5,731","16,673","19,049","7,228","10,857","6,812","1,812",890,42.1,43
E07000146,"147,451","7,970","4,372","2,889","7,888","1,693","3,523","2,981","8,069","8,285","25,570","29,117","11,253","17,793","11,584","3,016","1,448",43.5,45
E07000147,"101,499","4,327","2,470","1,680","4,954","1,238","2,205","1,911","4,542","4,279","14,596","20,861","9,239","14,820","10,205","2,682","1,490",47.5,51
E07000148,"132,512","8,425","3,953","2,314","5,809","1,206","2,498","5,134","15,289","12,794","28,100","21,128","6,517","9,242","6,812","2,134","1,157",37.4,34
E07000149,"124,012","6,816","3,865","2,512","7,557","1,545","3,202","2,518","5,357","5,740","22,839","25,965","9,573","14,143","8,888","2,381","1,111",43.0,45
,,,,,,,,,,,,,,,,,,,
E10000029,"728,163","42,226","24,241","15,255","42,304","8,876","18,354","15,678","40,513","42,682","136,963","144,426","51,606","75,241","49,070","13,374","7,354",41.7,42
E07000200,"87,740","4,451","2,983","1,885","5,476","1,124","2,322","1,675","3,958","3,795","15,844","18,485","6,986","10,010","6,196","1,660",890,43.1,45
E07000201,"59,748","4,123","2,020","1,203","3,092",626,"1,210","1,124","4,675","5,508","12,519","10,372","3,582","5,063","3,332",909,390,38.8,37
E07000202,"133,384","9,250","4,835","2,795","7,552","1,556","3,524","3,556","9,562","10,877","28,512","24,398","7,137","9,601","7,111","2,011","1,107",38.0,36
E07000203,"96,731","5,266","3,235","2,159","5,883","1,281","2,410","1,938","4,537","4,585","17,602","20,818","7,546","10,637","6,280","1,675",879,42.4,44
E07000204,"111,008","6,663","3,692","2,343","6,337","1,290","2,830","2,346","6,493","7,211","21,776","21,530","7,507","11,275","6,799","1,832","1,084",41.0,41
E07000205,"124,298","6,243","3,938","2,547","7,547","1,622","3,225","2,495","5,325","4,992","21,059","26,582","9,918","14,654","9,919","2,702","1,530",44.2,46
E07000206,"115,254","6,230","3,538","2,323","6,417","1,377","2,833","2,544","5,963","5,714","19,651","22,241","8,930","14,001","9,433","2,585","1,474",43.9,45
,,,,,,,,,,,,,,,,,,,
E12000007,"8,173,941","591,495","301,095","181,714","456,865","93,599","186,626","191,434","629,972","832,966","2,070,954","1,389,882","342,590","473,058","308,661","80,574","42,456",35.6,33
,,,,,,,,,,,,,,,,,,,
E13000001,"3,231,901","225,908","110,881","66,358","160,150","31,751","61,718","75,690","291,156","421,780","904,622","493,863","110,445","151,216","91,997","22,678","11,688",34.0,32
E09000007,"220,338","13,168","6,781","4,117","9,594","1,805","3,540","7,178","21,863","25,923","59,573","33,564","9,255","12,937","7,897","2,048","1,095",35.7,33
E09000001,"7,375",236,117,65,169,33,72,92,545,956,"2,045","1,547",463,587,331,75,42,41.4,39
E09000012,"246,270","19,149","9,618","5,742","13,878","2,738","5,270","5,402","21,685","33,838","68,805","35,479","7,271","9,673","5,775","1,324",623,32.4,30
E09000013,"182,493","11,900","5,446","3,113","7,621","1,550","2,883","3,483","17,279","26,021","52,859","27,248","6,677","9,102","5,300","1,297",714,34.7,32
E09000014,"254,926","18,112","9,798","5,977","15,234","2,949","5,600","5,704","18,835","28,062","71,358","41,685","9,243","12,575","7,373","1,576",845,34.2,32
E09000019,"206,125","12,289","5,900","3,683","9,118","1,835","3,560","5,405","20,453","29,744","57,433","31,441","7,228","9,885","6,020","1,443",688,34.5,31
E09000020,"158,649","9,189","4,765","2,849","6,442","1,137","2,308","3,030","11,322","16,602","45,177","28,537","8,176","10,928","5,720","1,539",928,37.8,36
E09000022,"303,086","20,701","10,196","6,180","14,754","2,955","5,576","5,527","26,702","43,135","87,291","47,870","9,012","12,617","7,725","1,936",909,33.7,31
E09000023,"275,885","22,004","10,580","6,085","15,268","3,199","6,371","6,557","20,883","26,465","74,795","47,754","9,789","13,641","9,013","2,271","1,210",34.6,33
E09000025,"307,984","25,384","12,846","7,988","19,587","4,089","7,934","8,388","32,586","40,437","76,602","43,017","8,533","11,461","6,796","1,567",769,31.3,29
E09000028,"288,283","20,739","9,836","5,726","14,097","2,984","5,656","7,326","26,996","35,725","80,522","47,275","9,072","11,979","7,466","1,949",935,33.7,32
E09000030,"254,096","18,750","9,697","5,834","13,202","2,660","4,953","7,010","30,818","40,157","70,245","29,337","5,863","8,169","5,611","1,256",534,30.9,29
E09000032,"306,995","21,670","9,230","5,344","12,521","2,241","4,621","5,541","23,699","47,217","93,803","43,539","10,658","14,455","8,763","2,355","1,338",34.5,32
E09000033,"219,396","12,617","6,071","3,655","8,665","1,576","3,374","5,047","17,490","27,498","64,114","35,570","9,205","13,207","8,207","2,042","1,058",36.7,34
,,,,,,,,,,,,,,,,,,,
E13000002,"4,942,040","365,587","190,214","115,356","296,715","61,848","124,908","115,744","338,816","411,186","1,166,332","896,019","232,145","321,842","216,664","57,896","30,768",36.6,35
E09000002,"185,911","18,676","8,989","5,342","12,757","2,534","5,246","4,805","13,053","14,971","43,463","29,955","6,799","9,276","6,982","2,102",961,33.4,32
E09000003,"356,386","26,239","13,804","8,548","21,293","4,350","8,839","7,391","23,913","31,425","83,864","62,376","16,912","23,723","16,034","4,785","2,890",36.8,35
E09000004,"231,997","15,182","8,535","5,480","15,018","3,351","6,574","5,903","14,832","14,041","47,146","45,928","12,795","18,695","13,408","3,403","1,706",38.8,39
E09000005,"311,215","22,446","11,521","7,127","17,942","3,721","7,607","7,261","24,198","34,698","76,288","53,462","12,268","17,944","11,137","2,408","1,187",35.0,32
E09000006,"309,392","20,095","11,161","6,900","18,612","3,818","7,912","6,182","16,119","17,887","68,132","62,045","18,492","25,770","18,452","5,086","2,729",39.9,40
E09000008,"363,378","27,972","14,388","8,708","23,130","4,912","9,934","8,720","23,591","27,692","82,439","70,488","17,029","23,155","15,318","3,881","2,021",36.4,35
E09000009,"338,449","25,426","12,595","7,790","19,043","4,023","7,728","6,922","24,552","33,998","87,446","58,503","14,196","19,419","12,152","3,023","1,633",35.4,33
E09000010,"312,466","24,513","13,047","7,883","20,305","4,253","8,547","7,711","21,726","24,957","70,185","56,854","13,652","20,392","13,159","3,449","1,833",35.9,34
E09000011,"254,557","20,945","10,443","5,882","14,984","3,140","5,978","6,943","19,987","22,113","65,585","42,269","10,172","13,675","8,692","2,452","1,297",34.6,33
E09000015,"239,056","15,916","9,007","5,414","14,590","3,131","6,604","5,369","16,066","19,345","53,358","44,579","12,010","17,420","11,659","2,982","1,606",37.6,36
E09000016,"237,232","13,661","8,143","5,087","14,365","3,132","6,439","5,787","14,976","14,662","46,289","47,853","14,561","20,561","15,660","4,196","1,860",40.4,40
E09000017,"273,936","19,704","10,494","6,421","16,877","3,397","7,227","8,409","21,934","20,878","61,198","49,433","12,786","18,061","12,425","3,036","1,656",36.4,35
E09000018,"253,957","19,725","9,412","5,487","13,945","2,964","5,954","5,759","18,612","26,231","64,753","43,411","10,845","14,592","8,982","2,220","1,065",35.2,33
E09000021,"160,060","10,964","5,647","3,319","8,541","1,799","3,422","4,643","13,505","12,358","38,920","28,602","7,982","10,241","6,775","2,136","1,206",37.0,35
E09000024,"199,693","14,830","7,225","4,182","10,474","2,142","4,418","3,849","12,452","19,877","53,663","34,682","8,777","11,880","7,965","2,105","1,172",36.3,34
E09000026,"278,970","21,666","11,561","7,363","18,579","3,689","7,527","6,721","18,894","23,814","64,231","48,962","12,578","16,817","11,553","3,225","1,790",35.6,34
E09000027,"186,990","14,038","6,986","4,121","9,827","1,966","3,621","3,498","9,145","12,546","49,396","36,408","10,142","13,023","8,234","2,503","1,536",38.3,38
E09000029,"190,146","12,750","6,897","4,198","11,673","2,470","5,097","3,920","10,657","13,185","44,453","37,247","10,366","13,785","9,448","2,637","1,363",38.3,38
E09000031,"258,249","20,839","10,359","6,104","14,760","3,056","6,234","5,951","20,604","26,508","65,523","42,962","9,783","13,413","8,629","2,267","1,257",34.4,32
,,,,,,,,,,,,,,,,,,,
E12000008,"8,634,750","534,235","299,327","188,731","512,875","106,916","217,612","217,156","534,287","528,057","1,761,278","1,716,857","535,399","763,695","501,118","139,576","77,631",40.0,40
,,,,,,,,,,,,,,,,,,,
E06000036,"113,205","8,027","4,218","2,527","7,082","1,608","3,198","2,425","6,349","7,721","26,631","23,439","5,833","7,520","4,742","1,247",638,37.4,37
E06000043,"273,369","15,015","8,186","5,105","13,412","2,627","5,602","9,810","28,129","22,998","65,653","48,426","12,714","17,460","12,248","3,758","2,226",37.4,35
E06000046,"138,265","6,412","3,945","2,597","7,968","1,754","3,492","2,944","6,808","6,690","23,176","28,531","10,994","17,112","10,772","3,257","1,813",44.4,46
E06000035,"263,925","17,224","9,732","6,235","16,765","3,458","7,463","8,110","19,041","17,581","54,321","51,536","15,454","20,652","11,946","2,915","1,492",37.7,37
E06000042,"248,821","19,908","10,263","6,205","15,805","3,211","6,339","5,170","14,056","19,596","59,548","48,040","13,169","15,467","8,494","2,371","1,179",36.1,35
E06000044,"205,056","13,548","6,970","4,061","10,927","2,294","4,628","9,034","22,761","16,991","41,524","35,086","9,820","13,861","9,210","2,792","1,549",36.5,34
E06000038,"155,698","11,937","5,463","3,093","7,968","1,655","3,279","4,875","14,574","15,113","38,506","25,030","6,373","9,058","6,132","1,704",938,35.3,33
E06000039,"140,205","12,777","6,276","3,718","9,034","1,755","3,664","3,155","9,574","13,351","35,902","23,015","5,160","6,637","4,505","1,103",579,33.5,32
E06000045,"236,882","15,407","7,406","4,441","11,555","2,539","4,801","10,602","29,384","21,785","48,888","38,352","10,946","15,443","10,661","3,084","1,588",36.1,32
E06000037,"153,822","10,065","5,512","3,505","9,914","2,095","4,303","3,235","7,341","8,506","33,010","32,957","9,753","12,949","7,590","2,065","1,022",39.4,40
E06000040,"144,560","9,365","5,252","3,332","8,863","1,848","3,910","2,585","7,111","8,841","31,949","28,735","8,692","12,424","8,164","2,243","1,246",39.8,40
E06000041,"154,380","10,031","5,758","3,793","9,740","2,048","4,090","3,349","7,428","8,071","33,741","33,116","9,426","13,052","7,791","1,896","1,050",39.4,40
,,,,,,,,,,,,,,,,,,,
E10000002,"505,283","31,832","18,799","12,140","32,552","6,726","13,496","10,946","25,974","27,607","103,397","106,421","31,242","44,690","28,249","7,287","3,925",39.8,41
E07000004,"174,137","11,345","6,475","4,069","11,267","2,414","4,734","3,736","8,763","9,872","37,160","37,525","10,741","14,209","8,476","2,173","1,178",39.1,40
E07000005,"92,635","5,473","3,510","2,350","6,339","1,284","2,524","1,751","3,693","3,706","17,124","20,649","6,264","9,332","6,141","1,635",860,41.6,44
E07000006,"66,867","3,931","2,291","1,526","4,090",828,"1,736","1,333","3,114","3,414","12,723","14,647","4,283","6,552","4,478","1,234",687,41.8,43
E07000007,"171,644","11,083","6,523","4,195","10,856","2,200","4,502","4,126","10,404","10,615","36,390","33,600","9,954","14,597","9,154","2,245","1,200",38.9,39
,,,,,,,,,,,,,,,,,,,
E10000011,"526,671","27,456","16,415","10,649","30,390","6,246","13,285","11,904","26,479","25,818","90,763","107,981","39,522","58,766","41,131","12,349","7,517",43.6,45
E07000061,"99,412","5,327","2,978","1,889","5,380","1,147","2,487","2,617","6,093","6,063","18,195","18,294","6,639","10,085","8,020","2,586","1,612",42.8,43
E07000062,"90,254","5,570","2,925","1,847","5,317","1,107","2,358","2,294","5,769","5,621","17,677","18,276","6,092","7,949","5,036","1,515",901,40.2,41
E07000063,"97,502","5,052","3,158","2,071","5,551","1,136","2,366","2,077","4,679","4,596","16,907","20,541","7,214","10,889","7,731","2,232","1,302",43.7,45
E07000064,"90,588","3,999","2,488","1,608","5,119","1,015","2,237","1,786","3,632","3,377","13,026","18,576","7,962","12,265","8,874","2,836","1,788",47.2,50
E07000065,"148,915","7,508","4,866","3,234","9,023","1,841","3,837","3,130","6,306","6,161","24,958","32,294","11,615","17,578","11,470","3,180","1,914",44.0,46
,,,,,,,,,,,,,,,,,,,
E10000014,"1,317,788","77,307","44,818","28,446","78,870","16,964","33,756","29,301","71,399","71,087","259,061","275,328","88,079","126,964","82,172","22,233","12,003",41.1,42
E07000084,"167,799","11,355","6,085","3,862","10,369","2,181","4,087","3,342","8,910","11,034","37,514","34,720","10,189","13,447","7,806","1,945",953,38.7,39
E07000085,"115,608","6,209","3,874","2,638","7,305","1,563","3,252","2,516","5,382","5,101","21,265","25,964","8,236","11,806","7,313","2,045","1,139",42.0,44
E07000086,"125,199","7,737","4,317","2,666","7,399","1,598","3,205","2,724","7,269","7,295","25,844","26,240","8,074","10,931","7,110","1,838",952,40.1,41
E07000087,"111,581","5,578","3,506","2,292","6,696","1,356","2,874","2,453","5,761","5,406","21,043","24,004","7,836","11,821","7,878","2,024","1,053",42.6,44
E07000088,"82,622","5,425","2,930","1,795","4,936","1,134","2,061","1,915","4,979","5,405","16,326","16,438","5,172","7,203","4,912","1,327",664,39.8,40
E07000089,"91,033","5,663","3,527","2,207","5,795","1,160","2,308","1,720","4,261","4,542","19,628","19,323","5,881","8,424","4,752","1,209",633,40.0,41
E07000090,"120,684","6,710","3,944","2,448","7,195","1,580","3,145","2,890","6,798","6,444","21,001","24,908","8,196","12,865","9,134","2,254","1,172",42.3,44
E07000091,"176,462","8,592","5,100","3,412","9,665","2,179","3,988","3,559","8,146","7,544","29,185","37,061","13,889","21,426","15,384","4,681","2,651",45.2,47
E07000092,"93,807","6,747","3,550","2,018","5,440","1,198","2,532","2,286","6,682","7,282","22,579","17,438","4,611","6,242","3,626","1,015",561,36.6,36
E07000093,"116,398","6,711","4,014","2,582","7,117","1,560","3,051","2,470","5,694","5,399","22,666","25,414","8,323","11,635","6,925","1,826","1,011",41.4,43
E07000094,"116,595","6,580","3,971","2,526","6,953","1,455","3,253","3,426","7,517","5,635","22,010","23,818","7,672","11,164","7,332","2,069","1,214",40.9,42
,,,,,,,,,,,,,,,,,,,
E10000016,"1,463,740","89,076","51,228","32,919","91,396","18,935","39,259","37,792","87,679","83,297","282,886","290,483","96,484","137,517","87,948","23,683","13,158",40.3,41
E07000105,"117,956","7,771","4,361","2,997","7,838","1,578","3,164","2,879","6,245","6,470","23,590","23,416","7,679","10,809","6,426","1,792",941,39.6,40
E07000106,"151,145","7,514","4,533","2,973","8,393","1,761","3,656","7,892","16,222","8,658","24,642","26,800","9,656","14,341","9,540","2,921","1,643",40.0,39
E07000107,"97,365","6,765","3,731","2,248","5,922","1,357","2,461","2,187","6,199","7,081","21,841","18,528","5,093","7,098","4,977","1,240",637,37.8,37
