Area code,All categories: Ethnic Group,White2,"Gypsy / Traveller / Irish Traveller3,4",Mixed / Multiple Ethnic Groups5,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British6,Other Ethnic Group
K02000001,"63,182,178","55,010,359","63,193","1,250,229","1,451,862","1,174,983","451,529","433,150","861,815","1,904,684","580,374"
K03000001,"61,371,315","53,231,910","61,892","1,244,215","1,445,664","1,173,892","450,989","426,847","856,817","1,901,068","578,021"
K04000001,"56,075,912","48,151,715","57,680","1,224,400","1,412,958","1,124,511","447,201","393,141","835,720","1,864,890","563,696"
E92000001,"53,012,456","45,226,247","54,895","1,192,879","1,395,702","1,112,282","436,514","379,503","819,402","1,846,614","548,418"
W92000004,"3,063,456","2,925,468","2,785","31,521","17,256","12,229","10,687","13,638","16,318","18,276","15,278"
S92000003 ,"5,295,403","5,080,195","4,212","19,815","32,706","49,381","3,788","33,706","21,097","36,178","14,325"
N92000002 ,"1,810,863","1,778,449","1,301","6,014","6,198","1,091",540,"6,303","4,998","3,616","2,353"
,,,,,,,,,,,
,,,,,,,,,,,
E92000001,"53,012,456","45,226,247","54,895","1,192,879","1,395,702","1,112,282","436,514","379,503","819,402","1,846,614","548,418"
,,,,,,,,,,,
E12000001,"2,596,886","2,473,883","1,684","22,449","15,817","19,831","10,972","14,284","13,695","13,220","11,051"
,,,,,,,,,,,
E06000047,"513,242","503,302",467,"3,094","1,368",463,241,"1,598","1,186",701,822
E06000005,"105,564","101,245",350,"1,146",726,145,523,349,462,357,261
E06000001,"92,028","89,859",40,550,266,291,214,229,304,170,105
E06000002,"138,412","121,970",85,"2,362","1,477","6,811",244,904,"1,332","1,731","1,496"
E06000048,"316,028","310,910",156,"1,692",939,351,295,452,621,338,274
E06000003,"135,177","133,118",85,853,91,295,94,155,234,122,130
E06000004,"191,610","181,156",143,"1,997","1,488","3,072",132,866,"1,074","1,133",549
,,,,,,,,,,,
E11000004,"1,104,825","1,032,323",358,"10,755","9,462","8,403","9,229","9,731","8,482","8,668","7,414"
E08000020,"200,214","192,655",87,"1,558",916,617,242,"1,054",909,"1,081","1,095"
E08000021,"280,177","239,370",163,"4,279","5,072","6,364","4,692","6,037","4,942","5,160","4,098"
E08000022,"200,801","193,996",29,"1,815","1,095",319,686,869,846,734,412
E08000023,"148,127","142,090",9,"1,325",643,434,"1,534",235,465,420,972
E08000024,"275,506","264,212",70,"1,778","1,736",669,"2,075","1,536","1,320","1,273",837
,,,,,,,,,,,
E12000002,"7,052,177","6,357,569","4,147","110,891","107,353","189,436","45,897","48,049","46,750","97,869","44,216"
,,,,,,,,,,,
E06000008,"147,489","101,848",161,"1,823","19,791","17,801","1,525",721,"1,656",933,"1,230"
E06000009,"142,065","137,102",237,"1,753",627,223,231,514,687,346,345
E06000049,"370,127","357,627",313,"3,873","2,147",856,504,"1,125","1,428","1,402",852
E06000050,"329,608","320,812",213,"3,050","1,242",336,576,935,"1,008",908,528
E06000006,"125,746","123,000",41,"1,356",282,44,60,308,249,260,146
E06000007,"202,228","193,926",66,"2,144","1,803","1,179",152,849,928,694,487
,,,,,,,,,,,
E10000006,"499,858","491,942",315,"2,504",892,316,486,"1,153","1,219",579,452
E07000026,"96,422","95,371",14,426,81,34,91,123,148,73,61
E07000027,"69,087","67,901",39,360,137,47,43,183,223,70,84
E07000028,"107,524","105,284",196,535,273,109,180,337,349,147,114
E07000029,"70,603","69,476",15,339,137,79,70,164,179,84,60
E07000030,"52,564","51,984",15,211,77,7,49,79,80,22,40
E07000031,"103,658","101,926",36,633,187,40,53,267,240,183,93
,,,,,,,,,,,
E11000001,"2,682,528","2,246,600","1,523","60,710","53,461","130,012","34,186","26,079","28,435","74,097","27,425"
E08000001,"276,786","226,431",214,"4,892","21,665","12,026",614,"1,423","3,021","4,652","1,848"
E08000002,"185,060","164,960",72,"3,365","1,387","9,002",311,"1,100","1,607","1,893","1,363"
E08000003,"503,127","334,600",509,"23,161","11,417","42,904","6,437","13,539","11,689","43,484","15,387"
E08000004,"224,897","174,264",62,"4,057","1,555","22,686","16,310",726,"1,888","2,797",552
E08000005,"211,699","172,688",186,"3,569","1,105","22,265","4,342",948,"2,970","2,770",856
E08000006,"233,933","210,669",193,"4,616","2,553","1,843",605,"2,547","1,881","6,541","2,485"
E08000007,"283,275","260,761",58,"5,104","2,786","6,673",705,"1,722","1,876","1,958","1,632"
E08000008,"219,324","199,391",38,"3,159","3,668","4,910","4,296",951,728,"1,784",399
E08000009,"226,578","193,794",40,"6,031","6,306","7,027",457,"2,232","1,951","6,540","2,200"
E08000010,"317,849","309,042",151,"2,756","1,019",676,109,891,824,"1,678",703
,,,,,,,,,,,
E10000017,"1,171,339","1,079,866",821,"12,724","19,212","36,103","5,811","4,811","5,117","4,098","2,776"
E07000117,"87,059","76,044",10,976,321,"5,924","2,425",222,686,211,240
E07000118,"107,155","103,776",57,"1,016",612,525,105,236,232,401,195
E07000119,"75,757","73,829",15,742,297,118,25,209,196,163,163
E07000120,"80,734","70,681",97,696,279,"7,548",402,268,510,106,147
E07000121,"138,375","132,011",331,"1,356","1,212",413,309,"1,231",567,628,317
E07000122,"89,452","71,411",26,946,236,"15,320",383,281,587,126,136
E07000123,"140,202","112,304",111,"3,326","14,421","4,425",375,"1,235","1,276","1,676","1,053"
E07000124,"57,132","55,898",6,360,204,295,32,109,89,92,47
E07000125,"67,982","63,731",47,602,186,"1,139","1,638",233,200,123,83
E07000126,"109,057","105,830",17,"1,174",798,241,26,282,265,268,156
E07000127,"110,685","108,595",8,866,411,85,13,190,214,174,129
E07000128,"107,749","105,756",96,664,235,70,78,315,295,130,110
,,,,,,,,,,,
E11000002,"1,381,189","1,304,846",457,"20,954","7,896","2,566","2,366","11,554","6,023","14,552","9,975"
E08000011,"145,893","141,852",6,"1,913",467,81,10,446,399,505,214
E08000012,"466,415","414,486",185,"11,756","4,915","1,999","1,075","7,978","3,436","12,308","8,277"
E08000014,"273,790","266,621",120,"2,820",666,127,308,965,653,796,714
E08000013,"175,308","171,808",69,"1,179",504,133,122,512,493,248,240
E08000015,"319,783","310,079",77,"3,286","1,344",226,851,"1,653","1,042",695,530
,,,,,,,,,,,
E12000003,"5,283,733","4,687,578","4,378","84,558","69,252","225,892","22,424","28,435","39,961","80,345","40,910"
,,,,,,,,,,,
E06000011,"334,179","327,562",227,"2,301","1,081",396,69,660,755,598,530
E06000010,"256,406","241,037",284,"3,454","1,086",882,755,"2,124","1,624","2,996","2,164"
E06000012,"159,616","155,395",26,"1,186",513,195,268,605,548,411,469
E06000013,"167,446","160,658",90,"1,244","1,122",862,"1,443",530,592,494,411
E06000014,"198,051","186,462",269,"2,413","1,531",417,370,"2,449","1,973","1,194",973
,,,,,,,,,,,
E10000023,"598,376","581,887",588,"5,043","1,631",894,275,"1,733","2,823","2,424","1,078"
E07000163,"55,409","53,910",54,375,156,474,39,118,183,61,39
E07000164,"89,140","87,503",132,593,220,84,30,126,140,188,124
E07000165,"157,869","151,968",107,"1,776",587,118,68,869,767,"1,147",462
E07000166,"51,965","49,537",19,502,75,27,20,78,"1,047",496,164
E07000167,"51,751","50,983",81,302,35,5,7,85,141,80,32
E07000168,"108,793","106,067",37,869,383,169,109,287,416,240,216
E07000169,"83,449","81,919",158,626,175,17,2,170,129,212,41
,,,,,,,,,,,
E11000003,"1,343,601","1,216,419","1,234","20,791","9,136","32,538","3,612","9,551","9,374","25,752","15,194"
E08000016,"231,221","226,122",163,"1,630",442,211,60,440,508,"1,221",424
E08000017,"302,402","287,479",587,"3,321","1,865","2,728",117,"1,121","1,783","2,337","1,064"
E08000018,"257,280","240,632",126,"2,551",961,"7,609",109,592,"1,280","2,112","1,308"
E08000019,"552,698","462,186",358,"13,289","5,868","21,990","3,326","7,398","5,803","20,082","12,398"
,,,,,,,,,,,
E11000006,"2,226,058","1,818,158","1,660","48,126","53,152","189,708","15,632","10,783","22,272","46,476","20,091"
E08000032,"522,452","351,884",433,"12,979","13,555","106,614","9,863","2,086","8,031","9,267","7,740"
E08000033,"203,826","182,707",80,"2,797","1,130","13,904",574,459,808,899,468
E08000034,"422,458","334,112",158,"9,790","20,797","41,802",731,"1,452","3,000","7,905","2,711"
E08000035,"751,485","638,800",687,"19,632","16,130","22,492","4,432","5,933","9,256","25,893","8,230"
E08000036,"325,837","310,655",302,"2,928","1,540","4,896",32,853,"1,177","2,512",942
,,,,,,,,,,,
E12000004,"4,533,222","4,042,938","3,418","86,224","168,928","48,940","13,258","24,404","37,893","81,484","25,735"
,,,,,,,,,,,
E06000015,"248,752","199,456",295,"7,232","10,907","14,620",658,"1,292","3,618","7,320","3,354"
E06000016,"329,839","166,219",417,"11,580","93,335","8,067","3,642","4,245","13,181","20,585","8,568"
E06000018,"305,680","218,372",326,"20,265","9,901","16,771","1,049","5,988","6,330","22,185","4,493"
E06000017,"37,369","36,243",58,389,113,38,7,125,82,251,63
,,,,,,,,,,,
E10000007,"769,686","749,783",311,"7,119","4,132",979,229,"1,727","1,728","2,770",908
E07000032,"122,309","119,979",44,980,416,80,11,201,221,253,124
E07000033,"75,866","74,386",66,518,207,56,6,166,177,267,17
E07000034,"103,788","100,167",5,"1,094",487,334,141,367,263,782,148
E07000035,"71,116","70,102",15,466,97,84,4,95,118,87,48
E07000036,"112,081","108,736",29,"1,269",778,89,21,266,229,536,128
E07000037,"90,892","88,944",10,944,148,78,10,228,247,184,99
E07000038,"99,023","97,014",70,786,350,79,32,187,147,236,122
E07000039,"94,611","90,455",72,"1,062","1,649",179,4,217,326,425,222
,,,,,,,,,,,
E10000018,"650,489","594,356",411,"8,551","28,598","2,099","2,313","3,502","4,265","3,787","2,607"
E07000129,"93,915","85,350",101,"1,505","4,399",281,18,435,585,900,341
E07000130,"166,100","145,040",74,"2,577","10,225",428,"2,022","1,943","1,520","1,327",944
E07000131,"85,382","81,255",61,971,"1,849",132,44,226,312,327,205
E07000132,"105,078","101,283",86,"1,027","1,390",158,81,269,348,262,174
E07000133,"50,376","49,316",3,414,277,4,0,103,134,95,30
E07000134,"93,468","91,110",77,881,520,16,20,198,320,205,121
E07000135,"56,170","41,002",9,"1,176","9,938","1,080",128,328,"1,046",671,792
,,,,,,,,,,,
E10000019,"713,653","695,867",617,"6,190","2,474",584,496,"1,737","2,025","2,561","1,102"
E07000136,"64,637","62,529",63,664,374,148,72,130,204,278,175
E07000137,"136,401","134,253",61,937,231,63,100,198,197,264,97
E07000138,"93,541","89,299",80,"1,230",522,139,139,452,542,778,360
E07000139,"107,766","105,761",74,791,217,29,68,215,221,251,139
E07000140,"88,270","86,270",100,796,251,48,54,176,218,257,100
E07000141,"133,788","130,316",78,"1,142",509,93,63,436,479,509,163
E07000142,"89,250","87,439",161,630,370,64,0,130,164,224,68
,,,,,,,,,,,
E10000021,"691,952","632,295",527,"14,182","12,264","2,312","4,264","2,846","3,741","16,923","2,598"
E07000150,"61,255","58,491",28,836,348,34,138,96,166,"1,008",110
E07000151,"77,843","75,069",54,971,551,172,55,151,254,481,85
E07000152,"86,765","83,796",46,"1,052",530,62,12,244,248,630,145
E07000153,"93,475","87,590",150,"1,313","1,818",149,102,327,627,991,408
E07000154,"212,069","179,089",149,"6,849","5,328","1,536","3,367","1,705","1,815","10,741","1,490"
E07000155,"85,189","82,561",11,"1,003",592,81,52,149,255,376,109
E07000156,"75,356","65,699",89,"2,158","3,097",278,538,174,376,"2,696",251
,,,,,,,,,,,
E10000024,"785,802","750,347",456,"10,716","7,204","3,470",600,"2,942","2,923","5,102","2,042"
E07000170,"119,497","116,690",43,"1,059",396,97,62,232,312,472,134
E07000171,"112,863","109,798",94,996,440,287,74,180,274,520,200
E07000172,"109,487","101,529",9,"1,827","1,754",775,92,"1,135",747,933,686
E07000173,"113,543","105,624",32,"2,619","1,366",962,67,411,537,"1,653",272
E07000174,"104,466","101,520",2,"1,106",521,132,192,206,238,398,151
E07000175,"114,817","111,705",253,"1,160",366,145,73,220,232,499,164
E07000176,"111,129","103,481",23,"1,949","2,361","1,072",40,558,583,627,435
,,,,,,,,,,,
E12000005,"5,601,847","4,628,935","4,734","131,714","218,439","227,248","52,477","31,274","74,997","182,125","49,904"
,,,,,,,,,,,
E06000019,"183,477","179,806",363,"1,270",490,80,32,277,560,331,268
E06000051,"306,129","299,562",312,"2,168",752,216,208,"1,020",893,580,418
E06000021,"249,008","220,529",183,"4,491","2,329","10,429","1,097","1,224","3,363","3,741","1,622"
E06000020,"166,641","154,249",166,"2,983","3,076","2,243",162,647,863,"1,779",473
,,,,,,,,,,,
E10000028,"848,489","811,182",433,"9,604","6,452","7,023",651,"2,726","3,804","4,810","1,804"
E07000192,"97,462","95,248",8,867,406,110,48,227,191,280,77
E07000193,"113,583","102,632",72,"1,619",916,"5,598",157,331,862,"1,023",373
E07000194,"100,654","97,386",13,"1,034",877,157,107,225,257,481,117
E07000195,"123,871","117,613",49,"1,490",937,485,154,978,958,828,379
E07000196,"108,131","103,572",128,"1,495","1,435",170,17,204,296,578,236
E07000197,"130,869","124,189",119,"1,694","1,359",369,128,503,929,"1,107",472
E07000198,"97,106","95,790",35,602,136,87,2,108,169,120,57
E07000199,"76,813","74,752",9,803,386,47,38,150,142,393,93
,,,,,,,,,,,
E10000031,"545,474","505,194",494,"7,949","16,435","1,728",284,"2,349","4,300","4,443","2,298"
E07000218,"62,014","60,664",45,506,360,35,11,67,107,172,47
E07000219,"125,252","114,317",75,"1,396","5,705",527,51,304,"1,293","1,047",537
E07000220,"100,075","90,405",160,"1,986","3,061",612,140,432,980,"1,987",312
E07000221,"120,485","117,134",173,"1,258",564,74,13,391,424,264,190
E07000222,"137,648","122,674",41,"2,803","6,745",480,69,"1,155","1,496",973,"1,212"
,,,,,,,,,,,
E11000005,"2,736,460","1,917,520","1,618","96,204","185,271","200,545","48,727","21,430","59,008","164,069","42,068"
E08000025,"1,073,045","621,228",408,"47,605","64,621","144,627","32,532","12,712","31,148","96,360","21,804"
E08000026,"316,960","233,878",151,"8,230","27,751","9,510","2,951","3,728","7,658","17,764","5,339"
E08000027,"312,925","281,255",352,"5,758","5,737","10,339",397,876,"1,593","4,671","1,947"
E08000028,"308,063","215,330",141,"10,199","31,400","13,952","6,588",839,"6,479","18,357","4,778"
E08000029,"206,674","184,174",70,"4,404","7,098","3,413",633,906,"1,511","3,239","1,226"
E08000030,"269,323","212,182",287,"7,224","16,502","14,289","5,194",993,"4,044","6,369","2,239"
E08000031,"249,470","169,473",209,"12,784","32,162","4,415",432,"1,376","6,575","17,309","4,735"
,,,,,,,,,,,
E10000034,"566,169","540,893","1,165","7,045","3,634","4,984","1,316","1,601","2,206","2,372",953
E07000234,"93,637","89,621",75,"1,396","1,078",221,39,309,278,444,176
E07000235,"74,631","72,710",131,639,268,43,30,336,225,151,98
E07000236,"84,214","77,488",9,"1,655",720,"2,580",192,209,328,862,171
E07000237,"98,768","92,181",113,"1,395",806,"1,923",449,391,797,473,240
E07000238,"116,944","113,995",462,962,463,84,94,188,300,228,168
E07000239,"97,975","94,898",375,998,299,133,512,168,278,214,100
,,,,,,,,,,,
E12000006,"5,846,965","5,302,029","8,165","112,116","86,736","66,270","32,992","33,503","58,871","117,442","28,841"
,,,,,,,,,,,
E06000055,"157,479","126,731",115,"5,386","8,122","3,270","3,225",905,"2,410","6,202","1,113"
E06000056,"254,381","238,244",478,"4,789","2,533",442,214,"1,404","1,809","3,614",854
E06000032,"203,201","110,881",198,"8,281","10,625","29,353","13,606","1,497","5,871","19,909","2,980"
E06000031,"183,631","150,984",560,"4,948","4,636","12,078",229,872,"3,677","4,164","1,483"
E06000033,"173,658","158,861",162,"3,651","1,810","1,059",933,"1,084","1,554","3,647",897
E06000034,"157,705","135,121",308,"3,099","2,234",534,682,828,"1,649","12,323",927
,,,,,,,,,,,
E10000003,"621,210","573,479","1,508","11,081","7,430","2,373","2,562","6,723","6,550","6,010","3,494"
E07000008,"123,867","102,096",109,"3,944","3,413",742,"1,849","4,454","3,160","2,097","2,003"
E07000009,"83,818","80,434",239,"1,182",316,103,80,290,426,506,242
E07000010,"95,262","92,164",467,901,372,65,65,215,358,497,158
E07000011,"169,508","160,483",208,"2,530","1,119",998,351,575,"1,147","1,642",455
E07000012,"148,755","138,302",485,"2,524","2,210",465,217,"1,189","1,459","1,268",636
,,,,,,,,,,,
E10000012,"1,393,587","1,311,695","2,161","20,885","12,456","3,462","2,747","6,361","9,834","18,709","5,277"
E07000066,"174,497","160,804",873,"2,887","2,089",436,322,584,"1,335","4,685",482
E07000067,"147,084","141,955",132,"1,837",625,122,190,335,726,913,249
E07000068,"73,601","68,747",121,"1,196",939,113,172,377,749,896,291
E07000069,"88,011","85,256",17,911,378,67,87,220,260,661,154
E07000070,"168,310","157,771",212,"2,646","1,911",673,466,826,"1,086","2,051",668
E07000071,"173,074","159,227",79,"3,152","1,426",366,385,"1,690","2,488","2,575","1,686"
E07000072,"124,659","112,693",176,"2,649","3,041",933,265,598,"1,085","2,404",815
E07000073,"81,944","72,882",117,"1,752","1,061",629,392,830,821,"3,090",370
E07000074,"61,629","60,228",201,506,117,7,90,104,166,150,60
E07000075,"83,287","80,888",49,905,262,42,81,228,268,433,131
E07000076,"138,048","134,605",62,"1,467",323,34,111,367,440,434,205
E07000077,"79,443","76,639",122,977,284,40,186,202,410,417,166
,,,,,,,,,,,
E10000015,"1,116,062","976,346","1,149","27,497","28,848","12,302","5,608","8,462","17,361","31,401","7,088"
E07000095,"93,609","84,383",147,"2,141",799,145,158,326,762,"3,957",791
E07000096,"144,847","131,306",231,"3,075","2,347","2,007",287,784,"1,345","2,990",475
E07000097,"137,687","131,399",57,"2,214",999,213,282,516,671,984,352
E07000098,"100,031","84,909",154,"2,619","3,723",454,232,918,"2,066","3,927","1,029"
E07000099,"127,114","113,722",33,"3,376","3,464",424,495,808,"1,630","2,491",671
E07000100,"140,664","124,215",165,"3,904","2,210","1,149","2,633","1,149","1,870","2,388",981
E07000101,"83,957","73,531",67,"2,265","1,626",489,536,635,"1,562","2,836",410
E07000102,"87,317","75,215",79,"2,002","5,231",605,158,590,"1,409","1,610",418
E07000103,"90,301","64,885",61,"3,104","4,923","6,082",362,822,"3,981","5,229",852
E07000104,"110,535","92,781",155,"2,797","3,526",734,465,"1,914","2,065","4,989","1,109"
,,,,,,,,,,,
E10000020,"857,888","827,096",922,"10,027","4,043",700,933,"3,208","4,133","4,609","2,217"
E07000143,"130,491","126,912",204,"1,562",295,81,101,202,361,596,177
E07000144,"124,646","121,751",44,"1,064",405,45,96,286,433,331,191
E07000145,"97,277","94,152",63,"1,159",446,116,18,189,435,439,260
E07000146,"147,451","143,154",255,"1,372",668,134,51,386,624,561,246
E07000147,"101,499","100,081",46,617,112,5,67,141,206,157,67
E07000148,"132,512","120,248",127,"3,039","1,684",255,540,"1,679","1,686","2,147","1,107"
E07000149,"124,012","120,798",183,"1,214",433,64,60,325,388,378,169
,,,,,,,,,,,
E10000029,"728,163","692,591",604,"12,472","3,999",697,"2,253","2,159","4,023","6,854","2,511"
E07000200,"87,740","85,794",51,827,180,9,65,161,251,264,138
E07000201,"59,748","54,799",108,"1,744",300,135,96,105,627,"1,296",538
