Area code,All categories: Long-term health problem or disability,Day-to-day activities limited2 a lot,Day-to-day activities limited2 a little,Day-to-day activities not limited2,Day-to-day activities limited2 a lot: Age 16 to 64,Day-to-day activities limited2 a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
K02000001,"63,182,178","5,490,807","5,972,651","51,718,720","2,442,214","2,984,299","35,503,752","30,077,077","21,245,436","8,315,694","2,735,364","808,607","56,675,721","4,060,706","897,374","1,548,377"
K03000001,"61,371,315","5,275,575","5,813,237","50,282,503","2,330,663","2,898,462","34,533,320","29,212,890","20,669,820","8,046,762","2,654,822","787,021","55,078,838","3,938,405","862,005","1,492,067"
K04000001,"56,075,912","4,769,712","5,278,729","46,027,471","2,086,236","2,619,966","31,567,505","26,434,409","19,094,820","7,401,881","2,428,668","716,134","50,275,666","3,665,072","775,189","1,359,985"
E92000001,"53,012,456","4,405,394","4,947,192","43,659,870","1,924,080","2,452,742","29,952,269","25,005,712","18,141,457","6,954,092","2,250,446","660,749","47,582,440","3,452,636","721,143","1,256,237"
W92000004,"3,063,456","364,318","331,537","2,367,601","162,156","167,224","1,615,236","1,428,697","953,363","447,789","178,222","55,385","2,693,226","212,436","54,046","103,748"
S92000003 ,"5,295,403","505,863","534,508","4,255,032","244,427","278,496","2,965,815","2,778,481","1,575,000","644,881","226,154","70,887","4,803,172","273,333","86,816","132,082"
N92000002 ,"1,810,863","215,232","159,414","1,436,217","111,551","85,837","970,432","864,187","575,616","268,932","80,542","21,586","1,596,883","122,301","35,369","56,310"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
E92000001,"53,012,456","4,405,394","4,947,192","43,659,870","1,924,080","2,452,742","29,952,269","25,005,712","18,141,457","6,954,092","2,250,446","660,749","47,582,440","3,452,636","721,143","1,256,237"
,,,,,,,,,,,,,,,,
E12000001,"2,596,886","285,087","277,105","2,034,694","132,039","140,910","1,412,015","1,142,170","866,035","395,243","149,374","44,064","2,310,535","165,828","41,778","78,745"
,,,,,,,,,,,,,,,,
E06000047,"513,242","62,875","58,411","391,956","29,292","29,985","273,636","217,373","171,564","82,404","32,568","9,333","453,187","34,336","8,826","16,893"
E06000005,"105,564","9,821","10,902","84,841","4,474","5,195","57,249","47,046","37,199","15,116","4,763","1,440","94,516","6,863","1,427","2,758"
E06000001,"92,028","11,137","10,178","70,713","5,319","5,336","47,975","39,816","30,117","14,607","5,789","1,699","82,104","5,325","1,555","3,044"
E06000002,"138,412","14,959","13,919","109,534","7,593","7,498","74,627","62,855","45,295","19,719","8,001","2,542","124,252","7,516","2,301","4,343"
E06000048,"316,028","30,940","34,558","250,530","13,138","16,047","169,673","138,990","108,458","48,580","15,641","4,359","280,331","22,304","4,553","8,840"
E06000003,"135,177","15,482","15,235","104,460","6,788","7,394","70,577","57,285","45,844","21,449","8,184","2,415","119,143","9,004","2,450","4,580"
E06000004,"191,610","17,677","18,731","155,202","8,202","9,614","106,736","88,811","64,282","26,385","9,296","2,836","171,686","11,683","2,933","5,308"
,,,,,,,,,,,,,,,,
E11000004,"1,104,825","122,196","115,171","867,458","57,233","59,841","611,542","489,994","363,276","166,983","65,132","19,440","985,316","68,797","17,733","32,979"
E08000020,"200,214","22,917","21,435","155,862","10,669","10,831","107,971","85,320","67,807","31,158","12,152","3,777","177,994","12,588","3,381","6,251"
E08000021,"280,177","26,661","25,916","227,600","12,966","14,012","166,506","133,933","89,096","38,018","14,793","4,337","254,367","15,248","3,726","6,836"
E08000022,"200,801","20,246","21,159","159,396","9,091","10,474","110,228","90,031","66,955","30,156","10,638","3,021","178,593","13,789","2,941","5,478"
E08000023,"148,127","18,166","16,315","113,646","8,337","8,323","78,687","63,345","48,861","23,700","9,394","2,827","131,387","9,351","2,596","4,793"
E08000024,"275,506","34,206","30,346","210,954","16,170","16,201","148,150","117,365","90,557","43,951","18,155","5,478","242,975","17,821","5,089","9,621"
,,,,,,,,,,,,,,,,
E12000002,"7,052,177","724,045","702,760","5,625,372","339,883","364,185","3,852,406","3,276,592","2,314,301","982,586","372,194","106,504","6,270,205","469,493","113,003","199,476"
,,,,,,,,,,,,,,,,
E06000008,"147,489","15,563","14,278","117,648","8,415","8,523","77,123","66,991","49,010","20,725","8,428","2,335","131,733","8,769","2,691","4,296"
E06000009,"142,065","19,247","17,084","105,734","9,278","9,143","71,039","56,600","48,022","23,977","10,346","3,120","125,746","8,635","2,592","5,092"
E06000049,"370,127","29,206","35,625","305,296","11,098","15,896","206,008","181,595","123,065","47,306","14,247","3,914","330,124","27,525","4,454","8,024"
E06000050,"329,608","29,098","31,897","268,613","11,961","14,811","183,601","159,777","108,967","42,604","14,259","4,001","292,487","23,941","4,723","8,457"
E06000006,"125,746","14,556","12,309","98,881","7,370","6,979","67,989","58,684","39,693","17,504","7,732","2,133","110,728","8,009","2,440","4,569"
E06000007,"202,228","16,940","18,057","167,231","7,280","9,112","114,871","100,734","66,223","24,446","8,466","2,359","180,385","13,862","2,837","5,144"
,,,,,,,,,,,,,,,,
E10000006,"499,858","48,523","53,198","398,137","20,392","24,268","268,810","225,018","172,789","71,966","23,604","6,481","443,363","35,927","7,265","13,303"
E07000026,"96,422","9,718","10,309","76,395","3,955","4,707","51,460","42,887","33,297","14,210","4,762","1,266","85,648","6,632","1,436","2,706"
E07000027,"69,087","8,961","8,062","52,064","4,202","4,129","35,510","29,538","22,865","10,898","4,542","1,244","60,842","4,573","1,308","2,364"
E07000028,"107,524","9,919","10,704","86,901","4,459","5,172","59,514","48,593","37,494","15,030","4,964","1,443","96,219","7,233","1,418","2,654"
E07000029,"70,603","7,537","7,524","55,542","3,477","3,631","38,151","31,329","23,938","10,516","3,760","1,060","62,622","4,695","1,179","2,107"
E07000030,"52,564","4,098","5,370","43,096","1,502","2,225","28,720","24,210","18,810","7,195","1,875",474,"46,602","4,208",620,"1,134"
E07000031,"103,658","8,290","11,229","84,139","2,797","4,404","55,455","48,461","36,385","14,117","3,701",994,"91,430","8,586","1,304","2,338"
,,,,,,,,,,,,,,,,
E11000001,"2,682,528","263,539","257,775","2,161,214","130,876","141,320","1,486,560","1,253,141","879,478","369,106","140,773","40,030","2,402,229","167,105","41,800","71,394"
E08000001,"276,786","27,773","27,140","221,873","13,476","14,913","148,781","125,548","93,765","39,139","14,465","3,869","246,137","18,187","4,525","7,937"
E08000002,"185,060","16,733","18,088","150,239","7,877","9,424","101,094","87,128","61,634","25,430","8,539","2,329","165,106","12,493","2,746","4,715"
E08000003,"503,127","47,353","42,011","413,763","27,026","26,741","304,398","245,334","159,452","62,651","27,014","8,676","460,487","23,109","7,568","11,963"
E08000004,"224,897","22,535","21,791","180,571","11,046","11,975","118,464","101,526","74,987","32,778","12,179","3,427","200,575","14,526","3,651","6,145"
E08000005,"211,699","22,630","21,729","167,340","11,836","12,145","112,119","94,233","70,158","31,303","12,453","3,552","188,439","13,550","3,605","6,105"
E08000006,"233,933","25,709","22,708","185,516","12,902","12,794","129,878","107,689","75,685","32,849","13,741","3,969","210,531","13,228","3,725","6,449"
E08000007,"283,275","24,487","27,772","231,016","10,520","13,345","154,930","135,500","94,251","37,601","12,505","3,418","251,293","21,091","3,921","6,970"
E08000008,"219,324","23,307","22,624","173,393","11,628","12,313","118,474","96,404","73,918","33,009","12,492","3,501","195,265","14,106","3,594","6,359"
E08000009,"226,578","18,165","20,438","187,975","8,037","9,890","126,554","115,496","71,694","27,549","9,273","2,566","203,051","15,653","2,981","4,893"
E08000010,"317,849","34,847","33,474","249,528","16,528","17,780","171,868","144,283","103,934","46,797","18,112","4,723","281,345","21,162","5,484","9,858"
,,,,,,,,,,,,,,,,
E10000017,"1,171,339","115,343","119,669","936,327","50,316","58,963","636,484","538,205","394,234","165,605","57,185","16,110","1,038,126","83,377","17,672","32,164"
E07000117,"87,059","10,090","9,517","67,452","5,007","5,203","45,571","37,372","29,286","13,682","5,213","1,506","77,204","5,861","1,379","2,615"
E07000118,"107,155","9,626","10,112","87,417","4,228","5,137","60,205","51,303","35,705","14,222","4,623","1,302","94,837","7,937","1,652","2,729"
E07000119,"75,757","7,849","8,714","59,194","2,823","3,554","39,037","33,815","25,591","11,619","3,692","1,040","66,570","5,907","1,131","2,149"
E07000120,"80,734","9,153","8,400","63,181","4,470","4,623","42,190","34,759","27,610","12,225","4,800","1,340","71,811","5,193","1,220","2,510"
E07000121,"138,375","12,751","14,176","111,448","5,286","6,801","77,953","64,577","46,831","18,960","6,215","1,792","123,760","9,261","1,819","3,535"
E07000122,"89,452","9,280","9,428","70,744","4,540","4,959","47,279","38,965","30,826","13,431","4,921","1,309","79,206","6,432","1,412","2,402"
E07000123,"140,202","12,605","12,880","114,717","6,295","7,297","80,584","65,276","47,840","18,585","6,644","1,857","126,063","8,490","2,198","3,451"
E07000124,"57,132","4,076","5,470","47,586","1,454","2,253","31,314","29,415","18,376","7,049","1,805",487,"50,591","4,758",617,"1,166"
E07000125,"67,982","6,818","6,692","54,472","3,257","3,611","37,402","31,438","22,508","9,603","3,475",958,"60,348","4,864",988,"1,782"
E07000126,"109,057","9,227","10,409","89,421","3,706","4,970","61,075","52,009","37,211","14,240","4,473","1,124","96,565","8,169","1,558","2,765"
E07000127,"110,685","11,212","10,926","88,547","4,697","5,179","59,961","52,675","36,226","14,800","5,380","1,604","97,259","8,242","1,812","3,372"
E07000128,"107,749","12,656","12,945","82,148","4,553","5,376","53,913","46,601","36,224","17,189","5,944","1,791","93,912","8,263","1,886","3,688"
,,,,,,,,,,,,,,,,
E11000002,"1,381,189","172,030","142,868","1,066,291","82,897","75,170","739,921","635,847","432,820","199,347","87,154","26,021","1,215,284","92,343","26,529","47,033"
E08000011,"145,893","20,786","14,965","110,142","10,486","8,222","75,503","67,153","43,505","21,420","10,631","3,184","128,028","8,782","3,207","5,876"
E08000012,"466,415","59,484","45,136","361,795","31,281","26,515","265,053","217,977","142,132","65,422","31,162","9,722","415,853","26,627","8,950","14,985"
E08000014,"273,790","32,202","29,859","211,729","13,750","13,895","141,779","124,069","89,115","40,620","15,549","4,437","239,243","20,527","5,014","9,006"
E08000013,"175,308","21,660","18,602","135,046","9,975","9,613","92,384","78,620","55,983","26,198","11,364","3,143","152,717","12,528","3,590","6,473"
E08000015,"319,783","37,898","34,306","247,579","17,405","16,925","165,202","148,028","102,085","45,687","18,448","5,535","279,443","23,879","5,768","10,693"
,,,,,,,,,,,,,,,,
E12000003,"5,283,733","478,358","515,291","4,290,084","211,198","257,601","2,942,571","2,407,907","1,817,231","739,959","247,942","70,694","4,732,392","341,658","74,574","135,109"
,,,,,,,,,,,,,,,,
E06000011,"334,179","29,029","34,936","270,214","10,822","14,707","181,349","151,003","116,859","48,307","13,877","4,133","296,811","24,355","4,418","8,595"
E06000010,"256,406","25,672","24,719","206,015","12,535","13,734","146,040","110,555","89,572","38,102","14,047","4,130","232,770","12,602","3,622","7,412"
E06000012,"159,616","14,786","16,334","128,496","6,384","7,934","86,772","70,242","55,935","23,779","7,507","2,153","143,623","9,114","2,117","4,762"
E06000013,"167,446","15,333","16,946","135,167","6,408","8,146","91,512","73,234","59,883","24,667","7,593","2,069","149,289","11,092","2,381","4,684"
E06000014,"198,051","13,018","17,357","167,676","4,757","8,088","120,015","98,402","67,709","23,752","6,369","1,819","179,827","12,701","1,934","3,589"
,,,,,,,,,,,,,,,,
E10000023,"598,376","45,699","59,045","493,632","16,534","25,174","329,764","285,526","206,349","78,814","21,734","5,953","533,597","44,753","7,190","12,836"
E07000163,"55,409","4,348","5,589","45,472","1,452","2,200","29,899","26,383","19,150","7,387","1,975",514,"48,798","4,759",674,"1,178"
E07000164,"89,140","6,330","8,695","74,115","2,115","3,527","49,156","43,384","30,682","11,235","2,972",867,"79,136","7,175",957,"1,872"
E07000165,"157,869","10,490","14,129","133,250","3,558","5,897","88,687","79,934","53,313","18,633","4,698","1,291","141,681","11,732","1,632","2,824"
E07000166,"51,965","3,261","4,662","44,042","1,234","2,072","30,316","26,678","17,383","5,988","1,523",393,"47,203","3,281",564,917
E07000167,"51,751","3,881","5,308","42,562","1,329","2,052","27,767","23,555","18,476","7,329","1,846",545,"45,847","4,136",627,"1,141"
E07000168,"108,793","11,369","13,004","84,420","4,537","5,684","55,861","45,241","38,721","17,588","5,712","1,531","96,258","7,663","1,695","3,177"
E07000169,"83,449","6,020","7,658","69,771","2,309","3,742","48,078","40,351","28,624","10,654","3,008",812,"74,674","6,007","1,041","1,727"
,,,,,,,,,,,,,,,,
E11000003,"1,343,601","142,328","138,778","1,062,495","63,774","71,292","736,519","597,414","452,212","198,715","74,077","21,183","1,194,696","86,920","21,570","40,415"
E08000016,"231,221","29,147","26,121","175,953","13,748","13,853","120,724","96,194","77,649","37,956","15,278","4,144","204,054","15,473","4,075","7,619"
E08000017,"302,402","33,644","31,891","236,867","15,425","16,549","161,794","131,738","102,983","45,748","16,982","4,951","269,038","18,918","5,027","9,419"
E08000018,"257,280","29,067","27,521","200,692","12,794","13,969","136,413","111,232","87,237","39,278","15,114","4,419","226,279","17,400","4,736","8,865"
E08000019,"552,698","50,470","53,245","448,983","21,807","26,921","317,588","258,250","184,343","75,733","26,703","7,669","495,325","35,129","7,732","14,512"
,,,,,,,,,,,,,,,,
E11000006,"2,226,058","192,493","207,176","1,826,389","89,984","108,526","1,250,600","1,021,531","768,712","303,823","102,738","29,254","2,001,779","140,121","31,342","52,816"
E08000032,"522,452","43,975","46,552","431,925","21,678","25,845","283,206","234,133","186,031","71,580","23,768","6,940","471,426","30,983","7,738","12,305"
E08000033,"203,826","16,730","19,870","167,226","7,768","10,124","113,281","94,449","70,007","28,091","8,929","2,350","182,457","14,170","2,690","4,509"
E08000034,"422,458","35,694","39,269","347,495","16,729","20,448","234,982","192,366","147,731","58,042","19,030","5,289","378,793","28,118","5,926","9,621"
E08000035,"751,485","59,155","66,523","625,807","27,010","33,964","443,420","361,295","254,023","95,515","31,504","9,148","679,887","45,684","9,473","16,441"
E08000036,"325,837","36,939","34,962","253,936","16,799","18,145","175,711","139,288","110,920","50,595","19,507","5,527","289,216","21,166","5,515","9,940"
,,,,,,,,,,,,,,,,
E12000004,"4,533,222","393,242","451,055","3,688,925","167,610","223,247","2,530,962","2,053,334","1,593,206","634,414","196,010","56,258","4,042,973","311,813","63,603","114,833"
,,,,,,,,,,,,,,,,
E06000015,"248,752","21,984","24,472","202,296","9,898","12,952","137,557","111,837","87,060","35,193","11,413","3,249","223,168","15,682","3,586","6,316"
E06000016,"329,839","27,615","29,522","272,702","14,027","17,602","191,715","148,108","117,551","44,278","14,972","4,930","298,874","17,503","5,533","7,929"
E06000018,"305,680","27,699","27,683","250,298","14,299","16,254","183,999","141,038","103,332","41,581","15,063","4,666","278,726","15,211","4,314","7,429"
E06000017,"37,369","2,271","3,517","31,581",724,"1,401","20,709","18,828","12,718","4,532","1,008",283,"33,570","2,772",356,671
,,,,,,,,,,,,,,,,
E10000007,"769,686","74,564","82,469","612,653","31,082","40,345","418,582","341,665","265,645","114,858","37,177","10,341","676,925","59,947","11,741","21,073"
E07000032,"122,309","11,554","13,255","97,500","4,642","6,472","66,948","53,826","42,795","18,336","5,810","1,542","107,702","9,510","1,785","3,312"
E07000033,"75,866","9,886","8,821","57,159","4,435","4,588","39,385","30,934","25,423","12,965","5,152","1,392","66,242","5,444","1,490","2,690"
E07000034,"103,788","11,948","11,985","79,855","5,421","6,082","54,801","43,274","35,622","16,984","6,204","1,704","90,754","7,884","1,792","3,358"
E07000035,"71,116","5,578","7,608","57,930","1,924","3,222","38,326","33,487","24,683","9,718","2,475",753,"62,113","6,568",889,"1,546"
E07000036,"112,081","9,988","11,648","90,445","4,028","5,690","62,234","49,349","39,666","16,762","4,874","1,430","99,519","8,137","1,508","2,917"
E07000037,"90,892","7,451","9,013","74,428","3,173","4,551","51,023","43,185","30,980","12,011","3,696","1,020","80,578","7,092","1,185","2,037"
E07000038,"99,023","10,594","11,168","77,261","4,296","5,171","52,314","42,535","33,926","15,734","5,319","1,509","85,888","8,382","1,742","3,011"
E07000039,"94,611","7,565","8,971","78,075","3,163","4,569","53,551","45,075","32,550","12,348","3,647",991,"84,129","6,930","1,350","2,202"
,,,,,,,,,,,,,,,,
E10000018,"650,489","45,811","59,612","545,066","16,865","27,051","373,755","308,763","230,844","82,862","21,967","6,053","579,761","48,671","8,017","14,040"
E07000129,"93,915","6,464","8,334","79,117","2,300","3,677","53,482","44,615","33,631","11,764","3,081",824,"83,363","7,244","1,234","2,074"
E07000130,"166,100","11,143","14,726","140,231","4,269","6,946","99,401","79,906","58,637","20,620","5,465","1,472","148,973","11,970","1,863","3,294"
E07000131,"85,382","5,048","7,376","72,958","1,795","3,209","48,439","43,421","29,261","9,707","2,345",648,"76,399","6,563",917,"1,503"
E07000132,"105,078","7,845","9,987","87,246","2,979","4,530","59,633","48,612","37,653","13,974","3,812","1,027","93,284","7,962","1,361","2,471"
E07000133,"50,376","3,165","4,684","42,527","1,060","2,061","28,859","24,349","17,892","6,295","1,449",391,"45,103","3,707",549,"1,017"
E07000134,"93,468","7,837","9,093","76,538","3,028","4,307","52,224","42,477","33,202","12,978","3,733","1,078","82,811","6,973","1,342","2,342"
E07000135,"56,170","4,309","5,412","46,449","1,434","2,321","31,717","25,383","20,568","7,524","2,082",613,"49,828","4,252",751,"1,339"
,,,,,,,,,,,,,,,,
E10000019,"713,653","67,333","78,089","568,231","27,041","35,373","381,510","307,017","256,638","107,948","32,796","9,254","634,391","48,281","10,205","20,776"
E07000136,"64,637","6,199","6,841","51,597","2,610","3,200","34,723","26,298","24,225","10,252","3,058",804,"58,007","3,926",937,"1,767"
E07000137,"136,401","17,475","17,927","100,999","7,197","7,724","65,058","52,138","48,140","24,915","8,671","2,537","118,697","9,524","2,556","5,624"
E07000138,"93,541","8,012","9,254","76,275","3,799","5,037","56,028","41,329","34,216","13,005","3,907","1,084","84,602","5,296","1,196","2,447"
E07000139,"107,766","9,108","11,496","87,162","3,323","5,065","57,820","49,563","37,834","14,941","4,198","1,230","95,573","7,737","1,473","2,983"
E07000140,"88,270","8,376","9,821","70,073","3,115","4,153","46,423","35,771","33,149","13,968","4,167","1,215","78,798","5,681","1,273","2,518"
E07000141,"133,788","10,219","12,910","110,659","3,797","5,780","73,948","62,625","46,999","17,767","5,005","1,392","119,947","9,259","1,603","2,979"
E07000142,"89,250","7,944","9,840","71,466","3,200","4,414","47,510","39,293","32,075","13,100","3,790",992,"78,767","6,858","1,167","2,458"
,,,,,,,,,,,,,,,,
E10000021,"691,952","49,749","62,235","579,968","21,386","31,111","395,548","324,025","249,082","87,222","24,570","7,053","622,454","46,320","8,259","14,919"
E07000150,"61,255","5,437","5,431","50,387","2,669","2,917","34,739","28,138","21,539","8,045","2,697",836,"55,207","3,495",889,"1,664"
E07000151,"77,843","5,115","6,998","65,730","2,061","3,332","44,461","37,709","27,454","9,398","2,577",705,"69,390","5,997",890,"1,566"
E07000152,"86,765","5,975","8,108","72,682","2,313","3,845","48,813","40,656","31,175","11,145","2,945",844,"77,833","6,143",995,"1,794"
E07000153,"93,475","7,166","8,826","77,483","3,049","4,406","52,360","43,038","33,973","12,039","3,477",948,"83,733","6,496","1,142","2,104"
E07000154,"212,069","15,175","18,412","178,482","6,983","9,793","124,065","98,367","77,331","26,530","7,654","2,187","192,386","12,777","2,444","4,462"
E07000155,"85,189","4,899","6,978","73,312","1,676","3,122","49,427","43,204","29,703","9,378","2,247",657,"76,436","6,323",920,"1,510"
E07000156,"75,356","5,982","7,482","61,892","2,635","3,696","41,683","32,913","27,907","10,687","2,973",876,"67,469","5,089",979,"1,819"
,,,,,,,,,,,,,,,,
E10000024,"785,802","76,216","83,456","626,130","32,288","41,158","427,587","352,053","270,336","115,940","37,044","10,429","695,104","57,426","11,592","21,680"
E07000170,"119,497","13,340","13,523","92,634","6,069","7,090","63,301","50,253","41,200","19,484","6,764","1,796","105,429","8,087","2,091","3,890"
E07000171,"112,863","12,202","12,409","88,252","5,283","6,284","60,194","48,326","39,138","17,794","5,912","1,693","99,648","7,988","1,785","3,442"
E07000172,"109,487","9,474","11,117","88,896","3,774","5,279","61,787","49,831","38,276","15,614","4,521","1,245","97,204","8,059","1,563","2,661"
E07000173,"113,543","9,986","11,970","91,587","3,985","5,628","62,557","51,154","39,934","16,473","4,657","1,325","100,101","8,998","1,554","2,890"
E07000174,"104,466","12,708","12,100","79,658","5,900","6,493","55,109","43,295","35,895","16,922","6,476","1,878","91,758","7,361","1,797","3,550"
E07000175,"114,817","10,966","12,398","91,453","4,622","6,086","61,464","51,505","39,671","16,874","5,246","1,521","101,626","8,380","1,655","3,156"
E07000176,"111,129","7,540","9,939","93,650","2,655","4,298","63,175","57,689","36,222","12,779","3,468",971,"99,338","8,553","1,147","2,091"
,,,,,,,,,,,,,,,,
E12000005,"5,601,847","508,454","553,610","4,539,783","216,957","276,018","3,068,455","2,525,862","1,946,936","786,583","263,217","79,249","4,986,959","378,678","85,924","150,286"
,,,,,,,,,,,,,,,,
E06000019,"183,477","15,370","18,994","149,113","5,957","8,398","98,591","83,874","64,494","25,517","7,441","2,151","162,801","13,998","2,362","4,316"
E06000051,"306,129","25,568","31,258","249,303","9,592","13,698","166,390","142,309","106,909","41,475","11,979","3,457","271,869","22,835","4,046","7,379"
E06000021,"249,008","29,283","27,218","192,507","14,345","15,242","132,237","104,510","86,311","38,179","15,356","4,652","221,623","15,214","4,357","7,814"
E06000020,"166,641","15,060","15,935","135,646","7,199","8,739","92,413","76,439","57,198","22,609","8,023","2,372","148,697","10,313","2,653","4,978"
,,,,,,,,,,,,,,,,
E10000028,"848,489","75,462","87,185","685,842","30,121","41,725","469,723","384,565","298,517","117,417","37,141","10,849","749,657","63,791","12,628","22,413"
E07000192,"97,462","10,124","10,080","77,258","4,361","5,276","53,733","42,634","34,133","14,091","5,121","1,483","85,645","6,947","1,736","3,134"
E07000193,"113,583","8,982","11,125","93,476","3,722","5,468","63,500","52,094","40,576","15,302","4,377","1,234","102,116","7,492","1,443","2,532"
E07000194,"100,654","8,289","9,976","82,389","3,007","4,451","55,345","47,225","35,014","13,259","3,959","1,197","89,085","7,662","1,359","2,548"
