ward,youth,pop
S13002516,0.0836197021764032,6111
S13002517,0.071707545695985,6401
S13002518,0.07442544094067344,7484
S13002519,0.08768247304646504,10481
S13002520,0.08673679867986799,9696
S13002521,0.06767031630170316,6576
S13002522,0.0816458145234103,7753
S13002523,0.07210286458333333,6144
S13002524,0.14338842975206612,9680
S13002525,0.08388876120432084,8702
S13002526,0.09007967103572347,7782
S13002545,0.07777890672627515,19684
S13002546,0.07839909460363187,19439
S13002547,0.2826530612244898,20580
S13002548,0.11298050745943591,18366
S13002549,0.16528747984954326,18610
S13002551,0.08128544423440454,15870
S13002552,0.06533161494993556,20174
S13002600,0.07305785123966942,3025
S13002601,0.06671251719394773,2908
S13002602,0.06853809697411593,2743
S13002603,0.0707070707070707,2673
S13002604,0.06207211319032405,2191
S13002605,0.07492581602373888,4044
S13002606,0.08678955453149001,3906
S13002607,0.08561020036429873,2745
S13002608,0.07440147329650092,2715
S13002732,0.08014009064688916,4854
S13002733,0.0911725955204216,3795
S13002734,0.07314285714285715,2625
S13002735,0.07819287576020852,4604
S13002736,0.07393195190585827,3909
S13002737,0.06009941256213285,2213
S13002761,0.07571099154496541,10408
S13002762,0.08234108811137571,10918
S13002763,0.10095607407902654,14957
S13002764,0.07852913680274229,9627
S13002765,0.07788944723618091,10746
S13002766,0.07413112544526812,10387
S13002767,0.07027846182989203,10558
S13002768,0.07634919096986727,10321
S13002769,0.07874617737003058,9156
S13002770,0.08273496945664988,9331
S13002771,0.07490419231215886,8611
S13002772,0.06926722566532993,2743
S13002773,0.09993906154783669,3282
S13002774,0.10251322751322751,3024
S13002775,0.076103500761035,2628
S13002776,0.08372781065088758,3380
S13002777,0.09223300970873786,2060
S13002778,0.08267650511487507,5963
S13002820,0.08155682787184797,16418
S13002821,0.08871009335190057,19389
S13002822,0.09354385666255266,23497
S13002823,0.11075870127702195,23962
S13002824,0.09511615997020345,21479
S13002825,0.09327007116993383,16018
S13002826,0.09093040705308572,21324
S13002827,0.08442633388513944,23559
S13002828,0.07986465781409602,15664
S13002830,0.09426408957277788,15987
S13002835,0.06007522837184309,18610
S13002836,0.06467635679180174,19126
S13002837,0.06596219480178525,15236
S13002838,0.08418488593155894,16832
S13002839,0.08210670144711509,16101
S13002840,0.22366802615394574,15447
S13002841,0.11540032679738563,14688
S13002842,0.30061054756982836,20801
S13002843,0.08089789827135928,16082
S13002844,0.06563857303206286,20491
S13002845,0.08175426051722083,16782
S13002846,0.08774767488879903,22257
S13002847,0.06790236740686365,16347
S13002848,0.08232750855701676,11102
S13002849,0.0850072134058373,9011
S13002850,0.09344923936665632,16105
S13002851,0.08301558632684461,14949
S13002852,0.09073736760439857,14823
S13002853,0.08593991947971508,12916
S13002854,0.08665263790771081,13306
S13002855,0.07950860563731604,16036
S13002856,0.07926918037560052,13738
S13002857,0.08386689512129138,11089
S13002858,0.07905449770190413,15230
S13002859,0.07759613170619388,13029
S13002860,0.08475836431226766,16140
S13002861,0.07877851711026616,16832
S13002862,0.07967745032158971,10417
S13002863,0.07793419267299864,11792
S13002864,0.08305501291826832,15869
S13002865,0.0843814789219074,14470
S13002866,0.07386591730228824,14946
S13002867,0.08595348837209302,10750
S13002868,0.08532934131736528,11356
S13002869,0.08478944060339409,15910
S13002870,0.08425414364640885,15928
S13002871,0.07994062765055132,14148
S13002872,0.08831223187192634,19114
S13002873,0.09694972409564684,13048
S13002874,0.0861724697366779,16026
S13002875,0.08869814020028613,12582
S13002876,0.08584095840015094,10601
S13002877,0.09435858776228169,7959
S13002878,0.09678236635419306,11841
S13002879,0.09176804062832172,8467
S13002880,0.08101080144019203,14998
S13002881,0.07655786350148368,13480
S13002882,0.07074463140280747,10757
S13002883,0.084360954246859507,8677
S13002884,0.07627684964200478,10475
S13002885,0.09580157775103623,14958
S13002886,0.08534699400734583,10346
S13002887,0.08256114867685116,11979
S13002888,0.08274831964152353,13390
S13002889,0.08215678364932097,14874
S13002890,0.08010603219758194,15467
S13002891,0.07684457597714052,9799
S13002892,0.08354693453411846,14435
S13002893,0.09382242467833453,12513
S13002894,0.07786105162978825,16812
S13002895,0.0931360201511335,15880
S13002896,0.09639564124056998,10737
S13002897,0.09350417646581785,12331
S13002898,0.09141528051874824,14188
S13002899,0.08691413573303337,13335
S13002900,0.09215133657870014,11709
S13002901,0.08417011222681631,13544
S13002902,0.08795854357016228,14666
S13002903,0.08108108108108109,13357
S13002904,0.09210996072831132,19607
S13002905,0.09643539147040102,15710
S13002906,0.08979591836734693,13475
S13002907,0.08738956727252264,17771
S13002908,0.08906674875583603,19491
S13002909,0.07864669994453688,18030
S13002910,0.11983281278706595,21772
S13002911,0.07175260849841222,13226
S13002912,0.07675132570471672,17915
S13002913,0.07455226988754686,14406
S13002914,0.09877734877734878,18648
S13002915,0.0936426116838488,16296
S13002916,0.08957524197028544,16221
S13002917,0.09428809479725976,21604
S13002918,0.08971852121322359,21991
S13002919,0.06965997261524418,35056
S13002920,0.12883283109136662,32189
S13002921,0.06779661016949153,23187
S13002922,0.06532119437193608,31414
S13002923,0.0635209243672835,34099
S13002924,0.0630412047688768,23905
S13002925,0.09606408287409281,33207
S13002926,0.0815647766867279,25256
S13002927,0.11842783505154639,23280
S13002928,0.1747844042268918,32932
S13002929,0.255200101156983,31634
S13002930,0.06769599760155899,33355
S13002931,0.054267581919440484,23163
S13002932,0.0688985604285236,29870
S13002933,0.2611579882313756,36028
S13002934,0.07561705962729308,34397
S13002935,0.07550102520007937,30238
S13002936,0.07777346780449962,15468
S13002937,0.08605987299667373,16535
S13002938,0.09427163372370304,18871
S13002939,0.08814960999906024,21282
S13002940,0.09286469965910427,17014
S13002941,0.08976207642393655,22192
S13002942,0.07808489045430124,16751
S13002943,0.0981789903441125,15431
S13002944,0.09303026648981068,16586
S13002945,0.0824548923236112,15463
S13002946,0.07225928331070311,16939
S13002947,0.08108993611095942,18313
S13002948,0.07748731289180776,23449
S13002949,0.095088161209068,15880
S13002950,0.08254237288135594,17700
S13002951,0.08049194621632784,21791
S13002952,0.0940184537066497,18858
S13002953,0.07780040733197556,14730
S13002954,0.08133052527254708,16144
S13002955,0.08627750399111543,14407
S13002956,0.07920064162545114,14962
S13002957,0.08944824555897307,15931
S13002958,0.0829689666204543,18754
S13002959,0.09338496289125524,15495
S13002960,0.07565275608123187,13443
S13002961,0.0849942871651644,15754
S13002962,0.3951227041210063,19437
S13002963,0.07073091323457593,12286
S13002964,0.07473359506449803,14264
S13002965,0.08084376785992622,19247
S13002966,0.09051368166051864,18163
S13002967,0.08689594236389588,29426
S13002968,0.0835831121007108,23354
S13002969,0.08958438925494171,31568
S13002970,0.08779711518927338,29534
S13002971,0.10295282679150163,27770
S13002972,0.06951871657754011,28050
S13002973,0.05932975599878506,29631
S13002974,0.07522073591269089,26389
S13002975,0.13931794369148612,29587
S13002976,0.3142716595954006,32526
S13002977,0.2551573558199066,26564
S13002978,0.07592922011047655,21362
S13002979,0.07941385779905544,30914
S13002980,0.08612748086432297,29526
S13002981,0.09890256364686542,22507
S13002982,0.09895648749753888,25395
S13002983,0.09004585334151713,27697
S13002984,0.08320821257725479,28639
S13002985,0.08104723961297666,26355
S13002986,0.0934621841114287,22041
S13002987,0.086800057578811,20841
S13002988,0.10912698412698413,21168
S13002989,0.13871951219512196,30176
S13002990,0.06378454996456413,5644
S13002991,0.08081381210991327,12337
S13002992,0.08352161470100919,13278
S13002993,0.07684517027471832,7899
S13002994,0.0791920216362407,11832
S13002995,0.09780775716694773,12453
S13002996,0.08002201430930105,9085
S13002997,0.08787017648818427,13372
S13002998,0.08190110417666827,10415
S13002999,0.0706365895622252,10462
S13003000,0.081830286890207,8261
S13003001,0.07843656255514382,11334
S13003002,0.07816822046921422,9761
S13003003,0.08914433617539586,13136
S13003004,0.07746204748929544,10276
S13003005,0.09028866549847828,10843
S13003006,0.0956488403296914,10434
S13003007,0.08202626641651031,13325
S13003008,0.08379385683074154,15562
S13003009,0.07912993207110854,13838
S13003010,0.08398521447605949,11633
S13003011,0.09377186843946816,11432
S13003012,0.09041124199214713,9678
S13003013,0.09283018867924528,11925
S13003014,0.0753311851056212,13965
S13003015,0.07989715265212836,10501
S13003016,0.10820736185839952,11709
S13003017,0.10146596858638743,9550
S13003018,0.08598130841121496,13910
S13003019,0.08596587782058338,18170
S13003020,0.08802844114692017,12939
S13003021,0.08664950834818187,15153
S13003022,0.08681358821380737,16426
S13003023,0.08834865105247554,13492
S13003024,0.08548858348663564,9241
S13003025,0.08410245774136679,9643
S13003026,0.08358519078201739,10588
S13003027,0.08031423290203327,10820
S13003028,0.1181959564541213,14789
S13003029,0.08811109306480429,12314
S13003030,0.08885418379089265,12166
S13003031,0.08021456316665639,16219
S13003032,0.10123505452634345,15222
S13003033,0.10217649386624456,12635
S13003034,0.09824419544876978,17314
S13003035,0.10148205928237129,12820
S13003036,0.07890193370165746,11584
S13003037,0.08864353312302839,12680
S13003038,0.09686179843089922,13256
S13003039,0.07537531925496792,16053
S13003040,0.09539498888974025,13051
S13003041,0.0919910514541387,11175
S13003042,0.0955965374482499,13285
S13003043,0.11022671131360817,18217
S13003044,0.09953103788720227,16206
S13003045,0.09098025048169557,16608
S13003046,0.08638045255097651,11623
S13003047,0.09168030956987647,13438
S13003048,0.09451697127937336,15320
S13003049,0.09884358488685076,20062
S13003050,0.09408569704284853,16570
S13003051,0.10495568090249799,14892
S13003052,0.0887577527548624,16607
S13003053,0.10064131697217593,19803
S13003054,0.09079332739080606,15706
S13003055,0.10635240011497557,13916
S13003056,0.09631523734592184,15252
S13003057,0.09794500295683027,13528
S13003058,0.09830844362658363,14129
S13003059,0.09058980934329357,17938
S13003060,0.08530014010130402,18558
S13003061,0.09179658315485381,20077
S13003062,0.09360768175582991,18225
S13003063,0.07532288277629892,10143
S13003064,0.07118425298483382,15495
S13003065,0.07808815526936333,11026
S13003066,0.07189472558040012,9347
S13003067,0.10378781862939729,12593
S13003068,0.08101977862456905,11022
S13003069,0.07690284110838302,11404
S13003070,0.07991950553399453,13914
S13003071,0.12165105641472446,9182
S13003072,0.0819935691318328,16172
S13003073,0.09937937619350733,12568
S13003074,0.08462213447405945,18234
S13003075,0.08514382813448235,16478
S13003076,0.08741935483870968,12400
S13003077,0.09385692068429238,12860
S13003078,0.09932629821737315,16773
S13003079,0.09818578867797749,11906
S13003080,0.09307309605817068,13065
S13003081,0.09492403721587564,16982
S13003082,0.08919249854997745,15517
S13003083,0.0833941969324746,15061
S13003084,0.09243027888446215,17570
S13003085,0.08452807646356034,10044
S13003086,0.09607131066358535,18174
S13003087,0.07789830508474577,14750
S13003088,0.07884959405531856,14534
S13003089,0.09901506373117033,17260
S13003090,0.0915240423797881,12270
S13003091,0.07931579872298049,17071
S13003092,0.08172655565293602,13692
S13003093,0.08385170440408062,12057
S13003094,0.08835777657070433,11046
S13003095,0.08977200759974667,18948
S13003096,0.0871391426095073,14999
S13003097,0.08298182375949076,13039
S13003098,0.09059805665799918,14614
S13003099,0.09139064783244033,16424
S13003100,0.09454434623590369,16405
S13003101,0.09492273730684327,16308
S13003102,0.0918839730442426,17065
S13003103,0.1027537717884869,13654
S13003104,0.08697239667007449,13694
S13003105,0.08298918387413963,15255
S13003106,0.07736838520738269,14683
S13003107,0.08519368523541275,14379
S13003108,0.0931592039800995,16080
S13003109,0.09335472326772383,16207
S13003110,0.07587218277246063,12956
S13003111,0.07431852682991222,15151
S13003112,0.08565866320571058,18492
S13003113,0.09655911973144349,21448
S13003114,0.09276498448472971,18369
S13003115,0.07861872433157321,11931
S13003116,0.08577582890991614,12999
S13003117,0.16497680013748067,17457
S13003118,0.21374608439285056,16281
S13003119,0.0900324085052565,12651
S13003120,0.09299011312015676,11227
S13003121,0.09210756067749258,11454
S13003122,0.08379047956113962,11302
S13003123,0.09122167231049752,19195
S13003124,0.08196427504629906,16739
S13003125,0.09344079157357166,12532
S13003126,0.09964630662494899,14702
S13003127,0.0916116248348745,15140
